7.47 5.61 8.67 X X 12.46 X X 10.53 11.43 X X 6.61 X 7.77 X 11.73 X 
8.07 X 8.03 X X 11.70 X X 9.66 X X X 7.38 X 7.39 X 11.03 X 
8.06 X 8.10 X X 11.69 X X 9.67 X X X 7.40 X 7.38 X 11.01 X 
8.07 X 8.07 X X 11.66 X X 9.66 X X X 7.37 X 7.37 X 11.01 X 
8.07 X 8.04 X X 11.69 X X 9.69 X X X 7.42 X 7.39 X 11.02 X 
8.09 X 8.04 X X 11.72 X X 9.66 X X X 7.40 X 7.38 X 11.01 X 
8.11 X 8.07 X X 11.69 X X 9.68 X X X 7.44 X 7.34 X 11.03 X 
8.09 X 8.06 X X 11.70 X X 9.69 X X X 7.34 X 7.33 X 11.01 X 
8.04 X 8.02 X X 11.68 X X 9.65 X X X 7.37 X 7.38 X 11.03 X 
8.02 X 8.10 X X 11.66 X X 9.71 X X X 7.40 X 7.36 X 10.97 X 
8.11 X 7.99 X X 11.69 X X 9.67 X X X 7.34 X 7.39 X 11.00 X 
8.10 X 7.99 X X 1
